sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
16870_2#35	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_2#36	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_2#34	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_2#39	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
18090_5#13	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#42	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#41	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#43	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
18090_5#7	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#45	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#46	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
