sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
10396_5#55	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	R	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#56	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	R	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#57	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	R	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#58	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#59	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#6	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#60	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	S	R	R	R	S	S
10396_5#66	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	R	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#67	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	R	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_5#68	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	S	S	S	R	R	R	R	R	R	R	S
