curve_id	sample_id	repeat_id	environment
MPROS0487_000.7	MPROS0487	8	0
MPROS0487_000.8	MPROS0487	9	0
MPROS0022_000	MPROS0022	1	0
MPROS0022_000.1	MPROS0022	2	0
MPROS0022_000.2	MPROS0022	3	0
MPROS0022_000.3	MPROS0022	4	0
MPROS0022_000.4	MPROS0022	5	0
MPROS0022_000.5	MPROS0022	6	0
MPROS0022_000.6	MPROS0022	7	0
MPROS0022_000.7	MPROS0022	8	0
MPROS0022_000.8	MPROS0022	9	0
MPROS0420_000	MPROS0420	1	0
MPROS0420_000.1	MPROS0420	2	0
MPROS0420_000.2	MPROS0420	3	0
MPROS0420_000.3	MPROS0420	4	0
MPROS0420_000.4	MPROS0420	5	0
MPROS0420_000.5	MPROS0420	6	0
MPROS0420_000.6	MPROS0420	7	0
MPROS0420_000.7	MPROS0420	8	0
MPROS0420_000.8	MPROS0420	9	0
MPROS0443_000	MPROS0443	1	0
MPROS0443_000.1	MPROS0443	2	0
MPROS0443_000.2	MPROS0443	3	0
MPROS0443_000.3	MPROS0443	4	0
MPROS0443_000.4	MPROS0443	5	0
MPROS0443_000.5	MPROS0443	6	0
MPROS0443_000.6	MPROS0443	7	0
MPROS0443_000.7	MPROS0443	8	0
MPROS0443_000.8	MPROS0443	9	0
MPROS0065_000	MPROS0065	1	0
MPROS0065_000.1	MPROS0065	2	0
MPROS0065_000.2	MPROS0065	3	0
MPROS0065_000.3	MPROS0065	4	0
MPROS0065_000.4	MPROS0065	5	0
MPROS0065_000.5	MPROS0065	6	0
MPROS0065_000.6	MPROS0065	7	0
MPROS0065_000.7	MPROS0065	8	0
MPROS0065_000.8	MPROS0065	9	0
MPROS0857_000	MPROS0857	1	0
MPROS0857_000.1	MPROS0857	2	0
MPROS0857_000.2	MPROS0857	3	0
MPROS0857_000.3	MPROS0857	4	0
MPROS0857_000.4	MPROS0857	5	0
MPROS0857_000.5	MPROS0857	6	0
MPROS0857_000.6	MPROS0857	7	0
MPROS0857_000.7	MPROS0857	8	0
MPROS0857_000.8	MPROS0857	9	0
MPROS2230_000	MPROS2230	1	0
MPROS2230_000.1	MPROS2230	2	0
MPROS2230_000.2	MPROS2230	3	0
MPROS2230_000.3	MPROS2230	4	0
MPROS2230_000.4	MPROS2230	5	0
MPROS2230_000.5	MPROS2230	6	0
MPROS2230_000.6	MPROS2230	7	0
MPROS2230_000.7	MPROS2230	8	0
MPROS2230_000.8	MPROS2230	9	0
MPROS1959_000	MPROS1959	1	0
MPROS1959_000.1	MPROS1959	2	0
MPROS1959_000.2	MPROS1959	3	0
MPROS1959_000.3	MPROS1959	4	0
MPROS1959_000.4	MPROS1959	5	0
MPROS1959_000.5	MPROS1959	6	0
MPROS1959_000.6	MPROS1959	7	0
MPROS1959_000.7	MPROS1959	8	0
MPROS1959_000.8	MPROS1959	9	0
MPROS1884_000	MPROS1884	1	0
MPROS1884_000.1	MPROS1884	2	0
MPROS1884_000.2	MPROS1884	3	0
MPROS1884_000.3	MPROS1884	4	0
MPROS1884_000.4	MPROS1884	5	0
MPROS1884_000.5	MPROS1884	6	0
MPROS1884_000.6	MPROS1884	7	0
MPROS1884_000.7	MPROS1884	8	0
MPROS1884_000.8	MPROS1884	9	0
NE357_000	NE357	1	0
NE357_000.1	NE357	2	0
NE357_000.2	NE357	3	0
NE357_000.3	NE357	4	0
NE357_000.4	NE357	5	0
NE357_000.5	NE357	6	0
NE357_000.6	NE357	7	0
NE357_000.7	NE357	8	0
NE357_000.8	NE357	9	0
NE286_000	NE286	1	0
NE286_000.1	NE286	2	0
NE286_000.2	NE286	3	0
NE286_000.3	NE286	4	0
NE286_000.4	NE286	5	0
NE286_000.5	NE286	6	0
NE286_000.6	NE286	7	0
NE286_000.7	NE286	8	0
NE286_000.8	NE286	9	0
NE1123_0000	NE1123	1	0
NE1123_0000.1	NE1123	2	0
NE1123_0000.2	NE1123	3	0
NE1123_0000.3	NE1123	4	0
NE1123_0000.4	NE1123	5	0
NE1123_0000.5	NE1123	6	0
NE1123_0000.6	NE1123	7	0
NE1123_0000.7	NE1123	8	0
NE1123_0000.8	NE1123	9	0
MPROS0593_000	MPROS0593	1	0
MPROS0593_000.1	MPROS0593	2	0
MPROS0593_000.2	MPROS0593	3	0
MPROS0593_000.3	MPROS0593	4	0
MPROS0593_000.4	MPROS0593	5	0
MPROS0593_000.5	MPROS0593	6	0
MPROS0593_000.6	MPROS0593	7	0
MPROS0593_000.7	MPROS0593	8	0
MPROS0593_000.8	MPROS0593	9	0
NE162_000	NE162	1	0
NE162_000.1	NE162	2	0
NE162_000.2	NE162	3	0
NE162_000.3	NE162	4	0
NE162_000.4	NE162	5	0
NE162_000.5	NE162	6	0
NE162_000.6	NE162	7	0
NE162_000.7	NE162	8	0
NE162_000.8	NE162	9	0
NE433_000	NE433	1	0
NE433_000.1	NE433	2	0
NE433_000.2	NE433	3	0
NE433_000.3	NE433	4	0
NE433_000.4	NE433	5	0
NE433_000.5	NE433	6	0
NE433_000.6	NE433	7	0
NE433_000.7	NE433	8	0
NE433_000.8	NE433	9	0
NE186_000	NE186	1	0
NE186_000.1	NE186	2	0
NE186_000.2	NE186	3	0
NE186_000.3	NE186	4	0
NE186_000.4	NE186	5	0
NE186_000.5	NE186	6	0
NE186_000.6	NE186	7	0
NE186_000.7	NE186	8	0
NE186_000.8	NE186	9	0
NE1459_000	NE1459	1	0
NE1459_000.1	NE1459	2	0
NE1459_000.2	NE1459	3	0
NE1459_000.3	NE1459	4	0
NE1459_000.4	NE1459	5	0
NE1459_000.5	NE1459	6	0
NE1459_000.6	NE1459	7	0
NE1459_000.7	NE1459	8	0
NE1459_000.8	NE1459	9	0
NE728_000	NE728	1	0
NE728_000.1	NE728	2	0
NE728_000.2	NE728	3	0
NE728_000.3	NE728	4	0
